Feature,const,const_pvalue,R_squared
danceability,0.638347,8.18E-68,0.001250597859
acousticness,0.209712,4.22E-08,0.002034854357
tempo,113.103479,1.21E-115,0.073162872217
instrumentalness,0.717151,2.74E-36,0.018539614325
energy,0.651209,1.94E-60,0.004618734471
key,5.304235,9.58E-21,0.002383276109
speechiness,0.060988,2.42E-12,0.003568966858
mode,0.459918,3.84E-10,0.010291834287
valence,0.317921,2.98E-16,0.022575830517
liveness,0.133808,4.64E-14,0.005838216061
tempo_scaled,0.499421,1.15E-83,0.067544577840
